wavelength,0.2 c,0.4 c,0.6 c,0.8 c,1.0 c
379.00,0.020812,0.045268,0.068668,0.097488,0.120499
378.00,0.020649,0.044888,0.067992,0.096855,0.119619
377.00,0.020217,0.044378,0.067187,0.096302,0.118784
376.00,0.020036,0.044358,0.066632,0.095003,0.117718
375.00,0.020688,0.043932,0.066342,0.094995,0.117049
374.00,0.019904,0.043606,0.066042,0.093774,0.115457
373.00,0.019878,0.043501,0.065790,0.093704,0.115264
372.00,0.019678,0.042995,0.064832,0.092629,0.114285
371.00,0.019603,0.042521,0.064230,0.091382,0.112919
370.00,0.019189,0.042095,0.063403,0.090620,0.112099
369.00,0.019420,0.041943,0.063527,0.090236,0.111679
368.00,0.019058,0.041487,0.062584,0.089843,0.110350
367.00,0.018562,0.041215,0.061394,0.088588,0.109146
366.00,0.018343,0.040246,0.061713,0.087737,0.108526
365.00,0.018430,0.040387,0.060935,0.087118,0.107515
364.00,0.018557,0.040148,0.060437,0.086358,0.107101
363.00,0.018199,0.039759,0.059888,0.085584,0.105630
362.00,0.017977,0.039451,0.059401,0.085127,0.105301
361.00,0.017947,0.039149,0.059123,0.084546,0.104515
360.00,0.018093,0.038805,0.058565,0.083583,0.103357
359.00,0.017807,0.038503,0.058314,0.083066,0.102734
358.00,0.017583,0.038454,0.057913,0.082427,0.102079
357.00,0.017354,0.037764,0.057205,0.081370,0.100962
356.00,0.017337,0.037516,0.056480,0.080886,0.099917
355.00,0.017142,0.037517,0.056291,0.080112,0.099318
354.00,0.017375,0.036784,0.055661,0.079623,0.098632
353.00,0.017044,0.037059,0.055770,0.079639,0.098396
352.00,0.016357,0.036175,0.054459,0.078214,0.096733
351.00,0.016484,0.036641,0.054517,0.077670,0.096205
350.00,0.016202,0.035764,0.053582,0.077228,0.095551
349.00,0.016722,0.035207,0.053627,0.076607,0.094439
348.00,0.015767,0.035290,0.052989,0.075732,0.094120
347.00,0.016430,0.035301,0.052940,0.075344,0.093681
346.00,0.016137,0.035214,0.052723,0.075294,0.093706
345.00,0.015702,0.034729,0.051877,0.074224,0.092237
344.00,0.016287,0.035015,0.052569,0.074992,0.092919
343.00,0.016002,0.034755,0.051763,0.074462,0.091964
342.00,0.015455,0.034123,0.051485,0.073787,0.091378
341.00,0.015301,0.034062,0.051136,0.073402,0.091719
340.00,0.015303,0.033846,0.051339,0.073317,0.090463
339.00,0.016061,0.034396,0.051515,0.073725,0.091146
338.00,0.015445,0.034310,0.051807,0.073701,0.091326
337.00,0.015658,0.033938,0.051660,0.073128,0.091176
336.00,0.016009,0.034558,0.052158,0.073980,0.091962
335.00,0.015959,0.034492,0.051757,0.073790,0.091235
334.00,0.015787,0.034481,0.051904,0.074216,0.091624
333.00,0.015968,0.034536,0.051902,0.074228,0.092545
332.00,0.015890,0.034953,0.052286,0.074483,0.092423
331.00,0.016205,0.035025,0.052232,0.075414,0.092878
330.00,0.016620,0.035654,0.053453,0.076281,0.094255
329.00,0.016369,0.035805,0.053544,0.076698,0.094997
328.00,0.016858,0.036020,0.054218,0.077607,0.096041
327.00,0.016966,0.036712,0.055006,0.078510,0.097381
326.00,0.017230,0.036999,0.055564,0.079654,0.098612
